order_date,region,total_revenue,order_count
2024-01-01,EU-CENTRAL,580.00,3
2024-01-01,US-EAST,665.00,4
2024-01-01,US-WEST,655.00,3
2024-01-02,EU-CENTRAL,405.00,3
2024-01-02,US-EAST,820.00,3
2024-01-02,US-WEST,535.00,4
2024-01-03,EU-CENTRAL,240.00,3
2024-01-03,US-EAST,995.00,4
2024-01-03,US-WEST,775.00,3
2024-01-04,EU-CENTRAL,495.00,3
2024-01-04,US-EAST,740.00,3
2024-01-04,US-WEST,655.00,4
2024-01-05,EU-CENTRAL,645.00,3
2024-01-05,US-EAST,715.00,4
2024-01-05,US-WEST,605.00,3
2024-01-06,EU-CENTRAL,435.00,3
2024-01-06,US-EAST,395.00,3
2024-01-06,US-WEST,1015.00,4
2024-01-07,EU-CENTRAL,765.00,3
2024-01-07,US-EAST,530.00,4
2024-01-07,US-WEST,650.00,3
2024-01-08,EU-CENTRAL,290.00,2
2024-01-08,US-EAST,575.00,3
2024-01-08,US-WEST,510.00,2
2024-01-09,EU-CENTRAL,200.00,2
2024-01-09,US-EAST,325.00,2
2024-01-09,US-WEST,820.00,3
2024-01-10,EU-CENTRAL,160.00,2
2024-01-10,US-EAST,585.00,3
2024-01-10,US-WEST,365.00,2
