order_id,customer_id,order_date,amount,status
O0001,C001,2024-01-01,85.00,COMPLETED
O0002,C002,2024-01-01,345.00,COMPLETED
O0003,C003,2024-01-01,70.00,COMPLETED
O0004,C004,2024-01-01,225.00,COMPLETED
O0005,C005,2024-01-01,170.00,COMPLETED
O0006,C006,2024-01-01,95.00,COMPLETED
O0007,C007,2024-01-01,280.00,COMPLETED
O0008,C008,2024-01-01,140.00,COMPLETED
O0009,C009,2024-01-01,415.00,COMPLETED
O0010,C010,2024-01-01,75.00,COMPLETED
O0011,C011,2024-01-02,220.00,COMPLETED
O0012,C012,2024-01-02,80.00,COMPLETED
O0013,C013,2024-01-02,315.00,COMPLETED
O0014,C014,2024-01-02,135.00,COMPLETED
O0015,C015,2024-01-02,105.00,COMPLETED
O0016,C016,2024-01-02,340.00,COMPLETED
O0017,C017,2024-01-02,65.00,COMPLETED
O0018,C018,2024-01-02,220.00,COMPLETED
O0019,C019,2024-01-02,165.00,COMPLETED
O0020,C020,2024-01-02,115.00,COMPLETED
O0021,C001,2024-01-03,130.00,COMPLETED
O0022,C002,2024-01-03,405.00,COMPLETED
O0023,C003,2024-01-03,65.00,COMPLETED
O0024,C004,2024-01-03,195.00,COMPLETED
O0025,C005,2024-01-03,240.00,COMPLETED
O0026,C006,2024-01-03,75.00,COMPLETED
O0027,C007,2024-01-03,310.00,COMPLETED
O0028,C008,2024-01-03,130.00,COMPLETED
O0029,C009,2024-01-03,100.00,COMPLETED
O0030,C010,2024-01-03,360.00,COMPLETED
O0031,C011,2024-01-04,210.00,COMPLETED
O0032,C012,2024-01-04,155.00,COMPLETED
O0033,C013,2024-01-04,105.00,COMPLETED
O0034,C014,2024-01-04,290.00,COMPLETED
O0035,C015,2024-01-04,150.00,COMPLETED
O0036,C016,2024-01-04,400.00,COMPLETED
O0037,C017,2024-01-04,60.00,COMPLETED
O0038,C018,2024-01-04,190.00,COMPLETED
O0039,C019,2024-01-04,235.00,COMPLETED
O0040,C020,2024-01-04,95.00,COMPLETED
O0041,C001,2024-01-05,120.00,COMPLETED
O0042,C002,2024-01-05,90.00,COMPLETED
O0043,C003,2024-01-05,350.00,COMPLETED
O0044,C004,2024-01-05,75.00,COMPLETED
O0045,C005,2024-01-05,230.00,COMPLETED
O0046,C006,2024-01-05,150.00,COMPLETED
O0047,C007,2024-01-05,100.00,COMPLETED
O0048,C008,2024-01-05,285.00,COMPLETED
O0049,C009,2024-01-05,145.00,COMPLETED
O0050,C010,2024-01-05,420.00,COMPLETED
O0051,C011,2024-01-06,180.00,COMPLETED
O0052,C012,2024-01-06,225.00,COMPLETED
O0053,C013,2024-01-06,85.00,COMPLETED
O0054,C014,2024-01-06,320.00,COMPLETED
O0055,C015,2024-01-06,140.00,COMPLETED
O0056,C016,2024-01-06,85.00,COMPLETED
O0057,C017,2024-01-06,345.00,COMPLETED
O0058,C018,2024-01-06,70.00,COMPLETED
O0059,C019,2024-01-06,225.00,COMPLETED
O0060,C020,2024-01-06,170.00,COMPLETED
O0061,C001,2024-01-07,275.00,COMPLETED
O0062,C002,2024-01-07,135.00,COMPLETED
O0063,C003,2024-01-07,410.00,COMPLETED
O0064,C004,2024-01-07,70.00,COMPLETED
O0065,C005,2024-01-07,200.00,COMPLETED
O0066,C006,2024-01-07,220.00,COMPLETED
O0067,C007,2024-01-07,80.00,COMPLETED
O0068,C008,2024-01-07,315.00,COMPLETED
O0069,C009,2024-01-07,135.00,COMPLETED
O0070,C010,2024-01-07,105.00,COMPLETED
O0071,C001,2024-01-08,60.00,COMPLETED
O0072,C002,2024-01-08,215.00,COMPLETED
O0073,C003,2024-01-08,160.00,COMPLETED
O0074,C004,2024-01-08,110.00,COMPLETED
O0075,C005,2024-01-08,295.00,COMPLETED
O0076,C006,2024-01-08,130.00,COMPLETED
O0077,C007,2024-01-08,405.00,COMPLETED
O0078,C021,2024-01-08,55.00,COMPLETED
O0079,C022,2024-01-08,185.00,COMPLETED
O0080,C023,2024-01-08,230.00,COMPLETED
O0081,C008,2024-01-09,315.00,COMPLETED
O0082,C009,2024-01-09,135.00,COMPLETED
O0083,C010,2024-01-09,105.00,COMPLETED
O0084,C011,2024-01-09,340.00,COMPLETED
O0085,C012,2024-01-09,65.00,COMPLETED
O0086,C013,2024-01-09,220.00,COMPLETED
O0087,C014,2024-01-09,165.00,COMPLETED
O0088,C024,2024-01-09,110.00,COMPLETED
O0089,C025,2024-01-09,295.00,COMPLETED
O0090,C021,2024-01-09,130.00,COMPLETED
O0091,C015,2024-01-10,75.00,COMPLETED
O0092,C016,2024-01-10,180.00,COMPLETED
O0093,C017,2024-01-10,225.00,COMPLETED
O0094,C018,2024-01-10,85.00,COMPLETED
O0095,C019,2024-01-10,320.00,COMPLETED
O0096,C020,2024-01-10,140.00,COMPLETED
O0097,C001,2024-01-10,85.00,COMPLETED
O0098,C022,2024-01-10,345.00,COMPLETED
O0099,C023,2024-01-10,70.00,COMPLETED
O0100,C024,2024-01-10,225.00,COMPLETED
